name,bot #,year,month,day,hour,min,sec,reading_count,slow_pos_err_for_avg,slow_pos_err_for_std,slow_vel_err_for_avg,slow_vel_err_for_std,slow_phaseA_for_avg,slow_phaseA_for_std,slow_pos_err_back_avg,slow_pos_err_back_std,slow_vel_err_back_avg,slow_vel_err_back_std,slow_phaseA_back_avg,slow_phaseA_back_std,fast_pos_err_for_avg,fast_pos_err_for_std,fast_vel_err_for_avg,fast_vel_err_for_std,fast_phaseA_for_avg,fast_phaseA_for_std,fast_pos_err_back_avg,fast_pos_err_back_std,fast_vel_err_back_avg,fast_vel_err_back_std,fast_phaseA_back_avg,fast_phaseA_back_std
AVG,-,-,-,-,-,-,-,-,3.577112716,-,464.8177192,-,0.509684589,-,2.474052096,-,436.9946198,-,0.512967995,-,186.468154,-,8540.727445,-,0.645473506,-,244.9588314,-,11003.65252,-,0.871027491,-
STD,-,-,-,-,-,-,-,-,0.037775712,-,9.019024773,-,0.004088711,-,0.041167388,-,7.654785815,-,0.003062381,-,2.009590777,-,95.96649002,-,0.021822149,-,3.928297228,-,113.2149449,-,0.030593259,-
AVG + 3*STD,-,-,-,-,-,-,-,-,3.690439852,-,491.8747935,-,0.521950723,-,2.597554261,-,459.9589772,-,0.522155139,-,192.4969263,-,8828.626915,-,0.710939952,-,256.7437231,-,11343.29736,-,0.962807268,-
iBot126_20190710_164910,126,2019,7,10,16,49,10,1023,3.565789474,2.343572449,464.0190789,348.3844941,0.500333623,0.260278128,2.427631579,2.025015653,444.6230263,339.7965528,0.510906924,0.257402826,188.5221445,416.6154602,8709.436665,16510.12911,0.651317042,0.740674807,252.4359862,438.8946464,11223.76537,17944.37626,0.898361235,0.793136621
iBot126_20190710_165011,126,2019,7,10,16,50,11,1023,3.552631579,2.318338848,461.5644737,325.1778184,0.509346848,0.263312435,2.427631579,1.951742213,428.2756579,343.4549203,0.512462439,0.258062001,184.9767981,408.2801243,8513.672171,16253.44782,0.634782792,0.77594322,244.7317073,423.9510558,11000.00541,17605.86152,0.901694749,0.780191494
iBot126_20190710_165132,126,2019,7,10,16,51,32,1023,3.578947368,2.415530095,459.5328947,312.7015103,0.509332637,0.26270193,2.513157895,2.052253945,434.4322368,334.9513233,0.514111833,0.258961194,185.0744186,407.061176,8482.682424,16222.27896,0.598200981,0.697821406,242.4201389,422.5822979,10993.76495,17535.07303,0.889933132,0.77023454
iBot126_20190710_165352,126,2019,7,10,16,53,52,1023,3.509803922,2.400980192,467.3601307,349.3087573,0.510051365,0.265475993,2.496732026,1.947076699,445.0601307,320.3612444,0.511204494,0.257155677,186.0960187,407.6676851,8521.095753,16283.61871,0.66420368,0.759573573,241.6920415,420.8002775,10953.04137,17491.83558,0.818438032,0.766047175
iBot126_20190710_165455,126,2019,7,10,16,54,55,1023,3.578947368,2.426471877,479.7585526,327.0156708,0.510526316,0.267648386,2.5,2,446.4486842,329.6517289,0.515794162,0.259484783,185.962877,407.0786662,8542.423532,16208.83073,0.664335472,0.74263108,244.6620209,427.0074851,11015.96294,17669.61088,0.850019831,0.789927048
iBot126_20190710_165545,126,2019,7,10,16,55,45,1023,3.598684211,2.425744559,450.6039474,324.6650484,0.50811091,0.267915528,2.467105263,2.022776805,436.4282895,306.0730247,0.511644685,0.261856393,185.0649652,405.5564084,8489.043344,16220.5125,0.654860804,0.741337006,243.3728223,420.6174994,10926.26214,17527.64619,0.901207063,0.806614616
iBot126_20190710_165643,126,2019,7,10,16,56,43,1023,3.605263158,2.422734197,462.2769737,329.6771984,0.51497649,0.264188336,2.467105263,1.986436668,431.9493421,334.2829725,0.510169171,0.264110983,184.8538283,404.4771066,8443.413669,16161.9533,0.660334905,0.752451076,244.7909408,424.6028809,11026.00743,17586.35399,0.881445861,0.785809675
iBot126_20190710_165748,126,2019,7,10,16,57,48,1023,3.559210526,2.459563178,477.3789474,333.9950683,0.513153182,0.268766439,2.427631579,2.057459289,440.4072368,340.7977078,0.519595833,0.257872822,190.8041958,415.2147444,8694.442248,16396.50545,0.627127879,0.738869537,250.1384083,432.4231325,11085.53488,17789.31305,0.837842382,0.784056843
iBot126_20190710_165816,126,2019,7,10,16,58,16,1023,3.644736842,2.398696928,460.8644737,317.9307656,0.511329928,0.263489366,2.539473684,2.051914238,425.3269737,316.6664092,0.510822414,0.262807613,186.8581395,404.7436852,8470.337202,16149.78403,0.654097995,0.748773903,240.3854167,418.2618098,10808.52823,17453.05727,0.860305137,0.783588135
